order_id,order_date,customer_id,region,customer_segment,product_category,unit_price,quantity,discount_pct,gross_revenue,net_revenue
1,2023-02-02,2508,North,High-Value,Sports,87.81,2,10,175.62,158.05800000000002
2,2023-10-10,2933,West,High-Value,Sports,71.37,2,5,142.74,135.603
3,2023-08-27,3936,North,Mid-Value,Beauty,34.86,4,0,139.44,139.44
4,2023-06-10,1465,South,Low-Value,Home & Kitchen,96.34,4,5,385.36,366.092
5,2023-06-08,3133,East,Mid-Value,Home & Kitchen,108.2,1,5,108.2,102.78999999999999
6,2023-11-10,2848,West,Mid-Value,Home & Kitchen,73.3,4,5,293.2,278.53999999999996
7,2023-02-01,2628,East,High-Value,Electronics,222.08,2,0,444.16,444.16
8,2023-09-12,1375,West,High-Value,Sports,71.81,4,15,287.24,244.154
9,2023-03-15,4822,South,Low-Value,Home & Kitchen,77.23,4,0,308.92,308.92
10,2023-02-04,3506,West,Mid-Value,Home & Kitchen,82.29,1,5,82.29,78.1755
11,2023-07-12,3765,South,Low-Value,Apparel,73.26,4,5,293.04,278.38800000000003
12,2023-12-23,3946,North,High-Value,Electronics,205.05,3,15,615.1500000000001,522.8775
13,2023-09-26,5978,West,Low-Value,Sports,85.67,2,15,171.34,145.639
14,2023-10-05,4415,East,Low-Value,Electronics,184.73,4,0,738.92,738.92
15,2023-09-19,3692,North,Mid-Value,Electronics,202.34,5,5,1011.7,961.115
16,2023-10-14,3170,South,Low-Value,Home & Kitchen,30.52,2,10,61.04,54.936
17,2023-07-07,4287,North,Low-Value,Beauty,34.84,3,10,104.52000000000001,94.06800000000001
18,2023-02-16,3574,South,High-Value,Electronics,161.43,4,0,645.72,645.72
19,2023-11-03,4243,East,Mid-Value,Apparel,47.16,1,5,47.16,44.80199999999999
20,2023-06-14,4890,North,Low-Value,Beauty,32.54,1,0,32.54,32.54
21,2023-07-02,5229,West,Low-Value,Sports,47.44,2,15,94.88,80.648
22,2023-05-16,1505,West,Low-Value,Home & Kitchen,78.14,2,15,156.28,132.838
23,2023-03-08,2791,East,High-Value,Beauty,32.84,1,5,32.84,31.198
24,2023-12-05,3638,South,Mid-Value,Apparel,63.59,1,10,63.59,57.231
25,2023-10-13,2995,North,Low-Value,Beauty,36.62,5,15,183.1,155.635
26,2023-08-24,3080,West,Low-Value,Home & Kitchen,59.12,3,10,177.35999999999999,159.624
27,2023-05-27,1092,South,High-Value,Beauty,37.46,2,0,74.92,74.92
28,2023-10-28,1444,North,High-Value,Beauty,38.15,1,10,38.15,34.335
29,2023-07-19,5045,South,Premium,Apparel,41.17,4,15,164.68,139.978
30,2023-06-11,3005,West,Low-Value,Electronics,209.3,5,10,1046.5,941.85
31,2023-06-14,3570,East,Low-Value,Beauty,39.86,1,0,39.86,39.86
32,2023-03-24,1128,West,Low-Value,Electronics,174.51,3,5,523.53,497.35349999999994
33,2023-02-03,3210,East,High-Value,Home & Kitchen,108.95,4,0,435.8,435.8
34,2023-07-22,5011,South,Mid-Value,Home & Kitchen,97.41,1,10,97.41,87.669
35,2023-11-21,3127,East,High-Value,Electronics,239.39,4,10,957.56,861.804
36,2023-01-24,5411,East,Mid-Value,Home & Kitchen,60.59,5,0,302.95000000000005,302.95000000000005
37,2023-11-10,2277,West,Low-Value,Home & Kitchen,100.14,1,0,100.14,100.14
38,2023-10-30,2913,South,Low-Value,Sports,53.47,5,10,267.35,240.61500000000004
39,2023-04-12,3939,South,Premium,Apparel,46.9,1,5,46.9,44.555
40,2023-08-19,4798,North,High-Value,Electronics,210.68,2,5,421.36,400.292
41,2023-03-02,3938,South,Mid-Value,Electronics,249.6,5,0,1248.0,1248.0
42,2023-10-04,4060,East,Low-Value,Apparel,42.44,1,20,42.44,33.952
43,2023-09-13,3106,South,Low-Value,Home & Kitchen,62.01,1,20,62.01,49.608000000000004
44,2023-05-10,5205,East,Low-Value,Apparel,39.37,3,20,118.10999999999999,94.488
45,2023-01-25,4945,North,Low-Value,Electronics,204.02,5,0,1020.1,1020.1
46,2023-12-21,4594,East,Mid-Value,Sports,85.35,2,0,170.7,170.7
47,2023-06-12,3797,West,Mid-Value,Electronics,221.47,3,15,664.41,564.7484999999999
48,2023-11-22,2820,West,Low-Value,Apparel,34.87,5,0,174.35,174.35
49,2023-09-05,1891,South,Premium,Sports,80.95,3,10,242.85000000000002,218.56500000000003
50,2023-10-12,5771,East,Mid-Value,Home & Kitchen,89.11,1,5,89.11,84.6545
51,2023-10-05,4815,West,Mid-Value,Apparel,38.0,2,5,76.0,72.2
52,2023-03-13,3724,South,Mid-Value,Sports,57.74,5,10,288.7,259.83
53,2023-05-13,1783,South,High-Value,Home & Kitchen,75.59,5,10,377.95000000000005,340.15500000000003
54,2023-06-20,5215,West,High-Value,Electronics,194.85,5,15,974.25,828.1125
55,2023-07-01,4686,West,High-Value,Electronics,256.38,3,5,769.14,730.683
56,2023-01-16,2778,West,Mid-Value,Sports,70.92,4,0,283.68,283.68
57,2023-07-19,3247,West,High-Value,Apparel,35.9,5,0,179.5,179.5
58,2023-02-26,1442,South,Low-Value,Beauty,35.56,4,5,142.24,135.12800000000001
59,2023-09-29,3130,South,Low-Value,Electronics,222.91,4,0,891.64,891.64
60,2023-09-07,3655,West,Low-Value,Electronics,177.45,1,5,177.45,168.5775
61,2023-12-03,5206,South,Premium,Sports,63.67,1,10,63.67,57.303000000000004
62,2023-09-29,2656,West,High-Value,Sports,74.51,4,5,298.04,283.13800000000003
63,2023-05-14,5351,East,High-Value,Electronics,276.27,2,10,552.54,497.286
64,2023-12-20,2830,East,High-Value,Electronics,251.19,4,0,1004.76,1004.76
65,2023-05-30,3789,East,Mid-Value,Beauty,29.67,5,5,148.35000000000002,140.9325
66,2023-04-29,4429,West,High-Value,Home & Kitchen,102.93,4,0,411.72,411.72
67,2023-11-27,5155,North,Low-Value,Apparel,40.86,4,0,163.44,163.44
68,2023-05-16,4847,North,Mid-Value,Apparel,50.14,5,5,250.7,238.165
69,2023-01-28,1572,South,High-Value,Sports,86.94,2,10,173.88,156.492
70,2023-06-21,3759,South,Low-Value,Electronics,241.49,5,0,1207.45,1207.45
71,2023-10-18,2603,South,Mid-Value,Apparel,40.14,2,5,80.28,76.26599999999999
72,2023-03-11,3991,North,Low-Value,Apparel,47.74,1,15,47.74,40.579
73,2023-06-18,5215,East,Mid-Value,Electronics,234.18,1,10,234.18,210.762
74,2023-02-17,5702,North,Premium,Home & Kitchen,62.67,2,10,125.34,112.80600000000001
75,2023-09-08,3954,East,High-Value,Apparel,41.96,2,0,83.92,83.92
76,2023-06-23,5956,West,Mid-Value,Home & Kitchen,91.46,3,10,274.38,246.942
77,2023-05-01,2619,West,Mid-Value,Apparel,40.93,2,0,81.86,81.86
78,2023-03-24,3514,North,Mid-Value,Electronics,187.44,4,0,749.76,749.76
79,2023-07-26,5836,North,Low-Value,Sports,43.04,1,5,43.04,40.888
80,2023-09-02,5092,South,Mid-Value,Home & Kitchen,53.76,4,0,215.04,215.04
81,2023-12-10,2787,East,Low-Value,Apparel,64.42,4,5,257.68,244.796
82,2023-06-09,3674,South,Mid-Value,Electronics,179.48,2,10,358.96,323.06399999999996
83,2023-02-28,2607,North,Low-Value,Home & Kitchen,68.96,1,15,68.96,58.61599999999999
84,2023-10-31,1302,North,Mid-Value,Beauty,42.87,3,0,128.60999999999999,128.60999999999999
85,2023-08-18,3316,North,Low-Value,Home & Kitchen,64.32,5,15,321.59999999999997,273.35999999999996
86,2023-09-13,4373,West,Low-Value,Beauty,31.7,4,10,126.8,114.12
87,2023-02-05,2287,West,Low-Value,Electronics,261.04,3,10,783.1200000000001,704.8080000000001
88,2023-04-25,5252,West,Low-Value,Sports,71.32,4,0,285.28,285.28
89,2023-10-08,5783,East,Mid-Value,Apparel,32.76,4,0,131.04,131.04
90,2023-10-31,2378,North,Mid-Value,Apparel,39.77,4,0,159.08,159.08
91,2023-06-08,2462,East,Low-Value,Home & Kitchen,95.19,2,15,190.38,161.82299999999998
92,2023-10-21,2231,East,Low-Value,Electronics,205.77,2,0,411.54,411.54
93,2023-11-04,1611,East,High-Value,Home & Kitchen,79.69,4,0,318.76,318.76
94,2023-05-22,4122,East,Mid-Value,Apparel,44.68,1,10,44.68,40.212
95,2023-11-24,4204,North,Mid-Value,Beauty,43.45,3,0,130.35000000000002,130.35000000000002
